reviewId,userId,businessName,reviewerName,platform,date,rating,reviewText,sentimentScore,sentimentCategory,responseStatus,verifiedPurchase
d9670dad-d95f-461a-b4f3-77a106a651b2,af15c3fb-87b9-485c-8843-6c5158b1db97,Dr. Luther Durgan's Service,Heather Cormier,Manual Import,2023-05-12T03:56:21-04:00,5,Highly recommend! Everything was perfect. Conscendo minima adhaero dicta corrumpo verus aranea.,0.7244834993820521,Positive,Ignored,false
93e22ffd-0412-4a83-a9b4-020bd8c132d8,af15c3fb-87b9-485c-8843-6c5158b1db97,Dr. Luther Durgan's Service,Glen Hermiston,Yelp,2023-02-01T21:31:20-05:00,3,Met basic expectations but didn't wow me. Adaugeo cuius unde sol appono nihil adimpleo.,0.5572295966643384,Neutral,Ignored,false
7d56901e-74f4-4c9a-b93a-d06c44b66419,af15c3fb-87b9-485c-8843-6c5158b1db97,Dr. Luther Durgan's Service,Mr. George Hahn,Manual Import,2023-04-11T11:22:46-04:00,4,Outstanding experience! The best Service in town. Volutabrum depulso delicate.,0.7361389800713894,Positive,Pending,false
6291b522-37ed-4463-acfa-07eec3d5c312,3e7ac8ab-733e-4193-b460-072067a0ad15,Jacquelyn Witting's Restaurant,Gregg Spinka II,Manual Import,2023-07-01T00:59:54-04:00,4,Excellent service! Will definitely return to this Restaurant again. Torrens toties vero.,0.752876789858319,Positive,Ignored,false
5a650e11-eb00-4359-aebc-a5bb921087e3,3e7ac8ab-733e-4193-b460-072067a0ad15,Jacquelyn Witting's Restaurant,Fernando Emmerich,Manual Import,2023-12-08T03:26:14-05:00,3,Met basic expectations but didn't wow me. Cavus ultra beatus sumptus tredecim voluptas venio aliquam acceptus antea.,-0.018517721859137137,Neutral,Ignored,true
55c92c39-ee8d-4e53-a53a-109f51ddaf4e,3e7ac8ab-733e-4193-b460-072067a0ad15,Jacquelyn Witting's Restaurant,Edmund Hand,Yelp,2023-07-20T12:27:57-04:00,5,Excellent service! Will definitely return to this Restaurant again. Baiulus depereo vomer suggero vulgaris nemo.,0.8345804963427609,Positive,Ignored,true
cbcb05e8-28d5-4d88-b80b-5a8f8b1aa333,8ad13dab-0cbc-47f8-8bf0-8e1848b5bc6d,Roderick Kautzer's Restaurant,Lucia Kiehn,Manual Import,2023-07-22T13:54:09-04:00,2,Terrible experience - needs serious improvement. Supra similique carpo ustulo vestigium viduo claustrum minus.,-0.42063776535705777,Negative,Ignored,true
03cde646-daf2-4d77-b915-58ac1094424b,8ad13dab-0cbc-47f8-8bf0-8e1848b5bc6d,Roderick Kautzer's Restaurant,Crystal Larkin DVM,Facebook,2023-08-19T00:11:14-04:00,3,Decent Restaurant, but room for improvement. Animadverto amplus tollo maiores.,-0.19795390380700378,Neutral,Ignored,true
5337e45a-6b38-4229-832e-8d1a26328b98,8ad13dab-0cbc-47f8-8bf0-8e1848b5bc6d,Roderick Kautzer's Restaurant,Dr. Lena Homenick MD,Facebook,2023-10-24T04:23:25-04:00,3,Decent Restaurant, but room for improvement. Coerceo abeo veritatis veritas tepidus.,0.10003184739923893,Neutral,Pending,false
3a0e6a36-e1c2-4c8f-84cc-6aa693842ec7,2b77ecc4-ea5a-444f-a86c-c4a5804eafa4,Billie Walker I's Restaurant,Mrs. Essie Cartwright,Manual Import,2023-01-17T09:05:46-05:00,5,Outstanding experience! The best Restaurant in town. Derelinquo surculus titulus ante artificiose clibanus stella ascisco thorax tolero.,0.9469001338234516,Positive,Responded,false
7e42a38a-97df-4cd1-a1b3-446055d32815,2b77ecc4-ea5a-444f-a86c-c4a5804eafa4,Billie Walker I's Restaurant,Maria Schumm,Yelp,2023-05-12T21:09:01-04:00,5,Outstanding experience! The best Restaurant in town. Cursus volup appono coerceo tertius turbo sollicito curatio vesco.,0.8626929634542944,Positive,Responded,false
6b90490e-85e3-4c52-a039-aa614d696ea3,2b77ecc4-ea5a-444f-a86c-c4a5804eafa4,Billie Walker I's Restaurant,Abraham Rosenbaum,Yelp,2023-08-09T18:32:20-04:00,5,Highly recommend! Everything was perfect. Pel stipes summisse tabula calco animi bardus caute.,0.9635227782097958,Positive,Ignored,false
34669a6f-740f-4aa8-b86b-e7692594476c,5a11c71b-1a42-4479-bfe9-02d88deafcba,Philip Luettgen's Service,Emmett Dare,Google,2023-02-07T00:55:53-05:00,5,Outstanding experience! The best Service in town. Solitudo aegrotatio colligo tamdiu basium urbanus ipsa currus.,0.7587308988950565,Positive,Pending,true
7c694d6e-9a15-42c2-aac6-0ed08b8eca74,5a11c71b-1a42-4479-bfe9-02d88deafcba,Philip Luettgen's Service,Roland Dach,Yelp,2023-08-20T06:16:43-04:00,1,Terrible experience - needs serious improvement. Carpo altus crur decretum utique amplexus deleo.,-0.7184935836272335,Negative,Responded,true
d087bdf4-2004-4d05-a205-9421419b73a2,5a11c71b-1a42-4479-bfe9-02d88deafcba,Philip Luettgen's Service,Jaime Graham,Google,2023-01-02T19:37:13-05:00,1,Terrible experience - needs serious improvement. Video carus via suspendo capto venia caterva apud iusto demitto.,-0.810950621976475,Negative,Responded,true
936366cc-0250-4e71-aa4b-c037b435e323,75c3997c-8c5b-4146-bbe8-7d7f041af0be,Mr. Manuel Russel's Retail,Steve Waelchi,Yelp,2023-04-30T14:18:49-04:00,1,Very disappointing experience at this Retail. Viscus comes corroboro atavus considero caelestis anser statim taceo deprimo.,-0.9756695522437103,Negative,Responded,false
6ad7899a-dd34-4eaf-9cde-5a012992acaf,75c3997c-8c5b-4146-bbe8-7d7f041af0be,Mr. Manuel Russel's Retail,Kelly Wilderman,Google,2023-05-02T04:18:57-04:00,5,Excellent service! Will definitely return to this Retail again. Alius corpus pauci denique.,0.7511813423743314,Positive,Ignored,true
